DATE,Interest rate,Consumer price index,M1 money supply,Unemployment rate,Closing price,Inflation rate,Real GDP,Real personal income,M2 money supply,Opening price,House price,Change in values of stocks,Net Exports,Labor compensation,Total capital expenditure and transactions,Outcome
Aug-80,9.61,83.2,479.8,7.7,122.4,12.873,7181.743,5963.437,1561.5,121.4,104.44,0.58,5.47,9.200603318,838886,1
Sep-80,10.87,83.9,482.5,7.5,125.5,12.601,7181.743,5989.16,1574,122.4,104.44,2.53,5.47,9.445277361,838886,1
Oct-80,12.81,84.7,482.9,7.5,127.5,12.766,7315.677,6040.861,1584.8,125.7,104.52,1.59,-6.68,9.98509687,910033,1
Nov-80,15.85,85.6,479.8,7.5,140.5,12.648,7315.677,6055.398,1595.8,128,104.52,10.2,-6.68,10.83086053,910033,1
Dec-80,18.9,86.4,472.8,7.2,135.8,12.516,7315.677,6084.759,1599.8,139.6,104.52,-3.35,-6.68,10.58823529,910033,1
Jan-81,19.08,87.2,471.7,7.5,129.6,11.825,7459.022,6065.141,1606.9,135.7,105.18,-4.57,-14.26,11.14369502,994544,1
Feb-81,15.93,88,471.4,7.4,131.3,11.407,7459.022,6048.204,1618.7,128.9,105.18,1.31,-14.26,10.75581395,994544,1
Mar-81,14.7,88.6,472.9,7.4,136,10.487,7459.022,6067.35,1636.6,131.1,105.18,3.58,-14.26,10.50359712,994544,1
Apr-81,15.72,89.1,479.7,7.2,132.8,10,7403.745,6056.169,1659.2,136.4,107.4,-2.35,-13.51,11.33428981,979116,1
May-81,18.52,89.7,473.5,7.5,132.6,9.78,7403.745,6074.295,1664.2,133.1,107.4,-0.15,-13.51,11.25356125,979116,1
Jun-81,19.1,90.5,469.8,7.5,131.2,9.553,7403.745,6107.73,1670.3,133.3,107.4,-1.06,-13.51,10.56338028,979116,1
Jul-81,19.04,91.5,466.6,7.2,130.9,10.762,7492.405,6199.452,1681.9,130.7,108.8,-0.23,-7.56,10.19553073,1032230,1
Aug-81,17.82,92.2,463,7.4,122.8,10.804,7492.405,6222.937,1694.3,130.7,108.8,-6.19,-7.56,10.08287293,1032230,1
Sep-81,15.87,93.1,458.6,7.6,116.2,10.952,7492.405,6213.748,1706,122.8,108.8,-5.37,-7.56,10,1032230,1
Oct-81,15.08,93.4,458.7,7.9,121.9,10.142,7492.405,6190.074,1721.8,115.8,107.5,4.91,-14.75,9.214092141,1015585,1
Nov-81,13.31,93.8,459.8,8.3,126.3,9.591,7492.405,6197.172,1736.1,123.5,107.5,3.61,-14.75,8.165997323,1015585,1
Dec-81,12.37,94.1,464.1,8.5,122.6,8.922,7492.405,6193.277,1755.5,125.7,107.5,-2.93,-14.75,7.579787234,1015585,1
Jan-82,13.22,94.4,469,8.6,120.4,8.391,7295.631,6179.452,1770.4,122.6,106.14,-1.79,-16.28,8.970976253,965162,1
Feb-82,14.78,94.7,466.6,8.9,113.1,7.622,7295.631,6205.602,1774.5,118.7,106.14,-6.06,-16.28,7.742782152,965162,1
Mar-82,14.68,94.7,467.5,9,112,6.78,7295.631,6201.39,1786.5,113.4,106.14,-0.97,-16.28,7.291666667,965162,1
Apr-82,14.94,95,470.6,9.3,116.4,6.51,7328.912,6244.64,1803.9,112.2,108.81,3.93,-4.39,6.701030928,979178,1
May-82,14.45,95.9,465.8,9.4,111.9,6.682,7328.912,6244.365,1815.4,116,108.81,-3.87,-4.39,6.658130602,979178,1
Jun-82,14.15,97,461.3,9.6,109.6,7.064,7328.912,6223.394,1826,112,108.81,-2.06,-4.39,6.624203822,979178,1
Jul-82,12.59,97.5,459.5,9.8,107.1,6.441,7300.896,6223.874,1831.5,109.5,107.02,-2.28,-29.65,6.463878327,982175,1
Aug-82,10.12,97.7,462,9.8,119.5,5.85,7300.896,6236.193,1845.2,108.2,107.02,11.58,-29.65,5.771643664,982175,1
Sep-82,10.31,97.7,467.7,10.1,120.4,5.043,7300.896,6233.608,1858.4,120,107.02,0.75,-29.65,5.230386052,982175,1
Oct-82,9.71,98.1,473.5,10.4,133.7,5.139,7303.817,6229.736,1869.7,120.4,111.7,11.05,-29.59,4.714640199,956077,1
Nov-82,9.2,98,481.1,10.8,138.5,4.589,7303.817,6253.827,1883.7,133.7,111.7,3.59,-29.59,4.702970297,956077,1
Dec-82,8.95,97.7,486,10.8,140.6,3.83,7303.817,6286.221,1905.9,138.5,111.7,1.52,-29.59,4.944375773,956077,1
Jan-83,8.68,97.9,487.4,10.4,145.3,3.712,7400.066,6279.297,1959.4,140.6,114.43,3.34,-24.55,3.147699758,977283,0
Feb-83,8.51,98,494.2,10.4,148.1,3.488,7400.066,6283.89,1996.8,145.3,114.43,1.93,-24.55,4.628501827,977283,0
Mar-83,8.77,98.1,500.1,10.3,153,3.598,7400.066,6314.258,2015.2,148.1,114.43,3.31,-24.55,4.247572816,977283,0
Apr-83,8.8,98.8,499.2,10.2,164.4,3.899,7568.456,6319.274,2028.6,153,115.94,7.45,-45.43,3.985507246,1046882,0
May-83,8.63,99.2,504,10.1,162.4,3.549,7568.456,6351.636,2043.1,164.4,115.94,-1.22,-45.43,3.721488595,1046882,0
Jun-83,8.98,99.4,507,10.1,168.1,2.577,7568.456,6360.3,2053.5,162.4,115.94,3.51,-45.43,3.464755078,1046882,0
Jul-83,9.37,99.8,508.8,9.4,162.6,2.462,7719.746,6378.268,2064.8,168.1,116.96,-3.27,-65.2,3.69047619,1104545,0
